UMAP_1,UMAP_2,Label,Description,Cluster_main,Num_Clusters,Cluster_Assignments,Cluster_Color,Main_Cluster_Prob,Size_Prob,UserID,Abs,Temp
13.09852,6.405094,Dificuldade em explicar o cálculo do preço unitário na planilha,"A parte mais complicada é realmente explicar a planilha, como chega no preço unitário, explicar para ele que na verdade nós não temos um preço unitário que nós estamos acostumados normalmente",C4 - Complexidade da Planilha QTK,1,C4(100.0%),4,1.0,1.0,1606ce8c-55ff-48fe-a4e3-bddc770511df,3,2
13.001415,6.306989,Complexidade e extensão da planilha de preços,"O tamanho da planilha assusta quando você olha de primeira vez, porque você vai pegar uma planilha que para chegar no preço você vai até a coluna JZ",C4 - Complexidade da Planilha QTK,1,C4(100.0%),4,1.0,1.0,1606ce8c-55ff-48fe-a4e3-bddc770511df,3,2
6.84155,5.353606,Dificuldade de processos em empresas pequenas,"Quanto menor a empresa, mais complicado é fazer elas entenderem o processo",C5 - Resistência do Mercado Local,1,C5(100.0%),5,1.0,1.0,1606ce8c-55ff-48fe-a4e3-bddc770511df,4,2
13.270229,6.468723,Análise superficial dos custos da obra,"Muitos nem entram no mérito de olhar muito a planilha de cálculo, vai direto na planilha resumo, vê quanto é o preço médio da obra e vê se consegue fazer por aquele preço",C4 - Complexidade da Planilha QTK,1,C4(100.0%),4,1.0,1.0,1606ce8c-55ff-48fe-a4e3-bddc770511df,2,2
7.1390023,5.029363,Empresas Locais Contratação Pública Preços,"As empresas locais, aquelas que estão muito acostumadas com a contratação pública, forma de contratação pública, preço de obra pública, a maioria dizem que não dá para fazer",C5 - Resistência do Mercado Local,1,C5(100.0%),5,1.0,1.0,1606ce8c-55ff-48fe-a4e3-bddc770511df,3,1
7.012467,5.957236,Aumento de adesões por empresas externas,"Tá tendo uma leva grande de adesões, mas tudo empresa de fora",C5 - Resistência do Mercado Local,1,C5(25.9%),5,0.25873014944796857,0.25873014944796857,1606ce8c-55ff-48fe-a4e3-bddc770511df,4,2
11.149835,6.9756985,Falta governança controle planilhas,A gente tá precisando fazer uma governança mais adequada porque na verdade a planilha mudava de versão de acordo com o nosso sentimento,C8 - Evolução e Controle de Versões,1,C8(100.0%),8,1.0,1.0,1606ce8c-55ff-48fe-a4e3-bddc770511df,3,2
12.027746,4.180123,Modelo de Pagamento Diferenciado,A forma de pagamento do QTK é diferente do normal,C1 - Desafios Operacionais do QTK,1,C1(24.7%),1,0.24749951653671773,0.24749951653671773,1606ce8c-55ff-48fe-a4e3-bddc770511df,4,0
12.486324,4.822899,Complexidade da operacionalização do QTK,Toda operacionalização do QTK não é simples e não tem lugar nenhum,C1 - Desafios Operacionais do QTK,1,C1(100.0%),1,1.0,1.0,1606ce8c-55ff-48fe-a4e3-bddc770511df,4,2
10.289763,5.951713,Sugestão de vídeos para treinamento,Uma coisa que poderia ajudar bastante são aqueles vídeos do treinamento,C3 - Fluxo Operacional de Medições,1,C3(10.5%),3,0.10462061521022982,0.10462061521022982,1606ce8c-55ff-48fe-a4e3-bddc770511df,4,0
12.263212,4.399741,Manual de Metodologia de Cálculo de Preços QTK,"Um manual do QTK, que é um passo a passo de como o QTK calcula os preços, como ele funciona, como é a metodologia de cálculo",C1 - Desafios Operacionais do QTK,1,C1(33.0%),1,0.3300366211217993,0.3300366211217993,1606ce8c-55ff-48fe-a4e3-bddc770511df,3,0
10.770085,3.1785061,continuidade processo analisar viabilidade,"Se ela analisar essa obra como parte de um todo, você tem uma continuidade, é isso que viabiliza",C0 - Previsibilidade e Continuidade do Negócio,1,C0(100.0%),0,1.0,1.0,1606ce8c-55ff-48fe-a4e3-bddc770511df,4,0
9.899536,3.4459774,Incentivos Financeiros e Operacionais,"A gente tem outras situações de fomento como leasing interno, bonificação por antecipação de prazo, adiantamento contratual",C11 - Gestão de DMTs e Reequilíbrios,1,C11(30.9%),11,0.0,0.309,1606ce8c-55ff-48fe-a4e3-bddc770511df,3,0
9.647154,3.8012235,Correção automática de reequilíbrio e aditivos,"Você acaba com essa questão de aditivo, de pleito, de reequilíbrio, porque ela já automaticamente se corrige",C11 - Gestão de DMTs e Reequilíbrios,1,C11(100.0%),11,1.0,1.0,1606ce8c-55ff-48fe-a4e3-bddc770511df,4,-1
11.020306,3.3030295,Previsibilidade no trabalho,"Ele vai ter trabalho, não vai ficar se preocupando se vai acabar a obra, ele tem visibilidade",C0 - Previsibilidade e Continuidade do Negócio,1,C0(100.0%),0,1.0,1.0,1606ce8c-55ff-48fe-a4e3-bddc770511df,4,-2
10.632231,3.2910843,Inviabilidade isolada de projetos,"Se qualquer empresa for olhar analisar uma obra, nem olhe, nem olhe que não vai viabilizar (mas precisa olhar como parte de um todo)",C0 - Previsibilidade e Continuidade do Negócio,1,C0(100.0%),0,1.0,1.0,1606ce8c-55ff-48fe-a4e3-bddc770511df,4,2
10.91143,6.4960046,Dia a dia da planilha QTK,O principal ponto de governança que a gente tem que realmente estabelecer é o manuseio no dia a dia do QTK,C3 - Fluxo Operacional de Medições,2,C3(25.5%); C8(17.0%),3,0.25535876405087005,0.25535876405087005,1606ce8c-55ff-48fe-a4e3-bddc770511df,4,0
9.618402,3.7975898,Reequilíbrio retroativo corretivo automático,"Não tem pedido de reequilíbrio, você não tem pleito passado, porque a partir do momento que você corrigiu, você automaticamente corrige tudo para trás",C11 - Gestão de DMTs e Reequilíbrios,1,C11(100.0%),11,1.0,1.0,1606ce8c-55ff-48fe-a4e3-bddc770511df,4,1
11.029837,3.5357075,Risco compartilhado e pagamento previsível,"O conceito apela bem para eles, é essa coisa de ter risco mais compartilhado, de ter um pagamento que vai acontecendo de maneira mais previsível",C0 - Previsibilidade e Continuidade do Negócio,1,C0(100.0%),0,1.0,1.0,1606ce8c-55ff-48fe-a4e3-bddc770511df,3,-1
